PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
329,1,3,31.0,1,1,20.525
74,0,3,26.0,1,0,14.4542
254,0,3,30.0,1,0,16.1
720,0,3,33.0,0,0,7.775
667,0,2,25.0,0,0,13.0
31,0,1,40.0,0,0,27.7208
288,0,3,22.0,0,0,7.8958
218,0,2,42.0,1,0,27.0
798,1,3,31.0,0,0,8.6833
372,0,3,18.0,1,0,6.4958
377,1,3,22.0,0,0,7.25
139,0,3,16.0,0,0,9.2167
106,0,3,28.0,0,0,7.8958
69,1,3,17.0,4,2,7.925
362,0,2,29.0,1,0,27.7208
721,1,2,6.0,0,1,33.0
600,1,1,49.0,1,0,56.9292
515,0,3,24.0,0,0,7.4958
314,0,3,28.0,0,0,7.8958
744,0,3,24.0,1,0,16.1
320,1,1,40.0,1,1,134.5
22,1,2,34.0,0,0,13.0
418,1,2,18.0,0,2,13.0
836,1,1,39.0,1,1,83.1583
570,1,3,32.0,0,0,7.8542
292,1,1,19.0,1,0,91.0792
81,0,3,22.0,0,0,9.0
488,0,1,58.0,0,0,29.7
547,1,2,19.0,1,0,26.0
39,0,3,18.0,2,0,18.0
248,1,2,24.0,0,2,14.5
446,1,1,4.0,0,2,81.8583
324,1,2,22.0,1,1,29.0
715,0,2,52.0,0,0,13.0
877,0,3,20.0,0,0,9.8458
266,0,2,36.0,0,0,10.5
813,0,2,35.0,0,0,10.5
449,1,3,5.0,2,1,19.2583
658,0,3,32.0,1,1,15.5
312,1,1,18.0,2,2,262.375
431,1,1,28.0,0,0,26.55
479,0,3,22.0,0,0,7.5208
220,0,2,30.0,0,0,10.5
291,1,1,26.0,0,0,78.85
680,1,1,36.0,0,1,512.3292
474,1,2,23.0,0,0,13.7917
464,0,2,48.0,0,0,13.0
839,1,3,32.0,0,0,56.4958
206,0,3,2.0,0,1,10.4625
609,1,2,22.0,1,2,41.5792
787,1,3,18.0,0,0,7.4958
859,1,3,24.0,0,3,19.2583
453,0,1,30.0,0,0,27.75
366,0,3,30.0,0,0,7.25
617,0,3,34.0,1,1,14.4
541,1,1,36.0,0,2,71.0
133,0,3,47.0,1,0,14.5
144,0,3,19.0,0,0,6.75
805,1,3,27.0,0,0,6.975
554,1,3,22.0,0,0,7.225
804,1,3,0.42,0,1,8.5167
343,0,2,28.0,0,0,13.0
118,0,2,29.0,1,0,21.0
9,1,3,27.0,0,2,11.1333
115,0,3,17.0,0,0,14.4583
685,0,2,60.0,1,1,39.0
538,1,1,30.0,0,0,106.425
677,0,3,24.5,0,0,8.05
494,0,1,71.0,0,0,49.5042
480,1,3,2.0,0,1,12.2875
279,0,3,7.0,4,1,29.125
175,0,1,56.0,0,0,30.6958
38,0,3,21.0,0,0,8.05
59,1,2,5.0,1,2,27.75
58,0,3,28.5,0,0,7.2292
95,0,3,59.0,0,0,7.25
210,1,1,40.0,0,0,31.0
622,1,1,42.0,1,0,52.5542
785,0,3,25.0,0,0,7.05
87,0,3,16.0,1,3,34.375
13,0,3,20.0,0,0,8.05
